fips,svg
22001,"M 330.91798,271.887 L 332.45898,271.841 L 335.21798,271.738 L 336.00098,272.265 L 336.45198,273.743 L 336.45198,274.027 L 334.94298,276.037 L 334.06898,277.034 L 333.83898,277.195 L 333.62198,277.295 L 333.42398,277.362 L 331.29198,276.926 L 331.16998,276.89 L 330.91798,271.887"
22003,"M 328.61498,266.693 L 331.10698,266.527 L 331.14298,267.745 L 331.16098,268.226 L 331.25598,270.579 L 331.40398,270.714 L 331.42798,270.773 L 331.10698,271.553 L 331.00798,271.728 L 330.93698,271.801 L 329.33998,271.85 L 328.45698,272.314 L 326.68998,272.585 L 325.39698,272.809 L 325.33798,270.565 L 326.26198,270.528 L 327.01498,270.507 L 326.96098,267.911 L 326.90598,266.901 L 328.61498,266.693"
22005,"M 350.33398,272.774 L 352.36198,274.667 L 352.60098,274.829 L 352.65498,274.844 L 352.69998,274.82 L 353.30498,274.207 L 353.24098,274.919 L 349.72598,276.402 L 348.13998,276.533 L 348.91398,273.153 L 350.33398,272.774"
22007,"M 349.72598,276.402 L 350.70798,278.427 L 349.48298,280.945 L 348.68898,282.126 L 348.44598,281.198 L 348.47298,280.368 L 348.46398,279.882 L 348.37798,279.715 L 348.23798,279.57 L 348.00898,279.449 L 347.89198,279.449 L 347.40398,279.354 L 347.23798,279.192 L 346.62898,278.034 L 346.53498,277.791 L 346.84598,277.078 L 348.13998,276.533 L 349.72598,276.402"
22009,"M 336.51998,260.646 L 337.39098,260.736 L 337.39098,261.168 L 337.58798,261.971 L 337.63798,262.024 L 338.16098,262.057 L 338.37298,261.931 L 338.33698,261.845 L 338.20498,261.686 L 338.09798,261.425 L 338.17398,261.227 L 338.30098,261.097 L 338.49398,261.063 L 338.71998,261.119 L 339.33198,261.421 L 339.57998,261.764 L 339.82898,261.921 L 340.35098,262.06 L 340.72098,262.111 L 340.77698,262.097 L 340.97798,262.201 L 341.10498,262.353 L 340.81098,263.846 L 340.75698,264.034 L 340.67598,264.228 L 340.40198,264.571 L 339.77798,266.802 L 335.38398,266.978 L 334.57698,265.509 L 335.27198,265.14 L 335.00598,263.341 L 334.91498,260.88 L 335.01498,260.794 L 335.09098,260.763 L 335.13698,260.771 L 335.82098,261.092 L 336.51998,260.646"
22011,"M 326.90598,266.901 L 326.96098,267.911 L 327.01498,270.507 L 326.26198,270.528 L 325.33798,270.565 L 325.39698,272.809 L 325.40598,273.076 L 322.57898,273.161 L 322.55198,272.034 L 321.42598,272.061 L 321.45698,273.193 L 318.60498,273.269 L 318.61698,273.257 L 319.04198,272.9 L 319.08698,272.788 L 319.09098,272.721 L 318.93398,271.917 L 318.62298,271.542 L 318.59098,271.508 L 318.59098,271.503 L 318.71698,271.052 L 320.29898,268.073 L 320.49798,267.208 L 322.01198,266.982 L 325.18998,266.897 L 326.90598,266.901"
22013,"M 327.26298,244.83 L 328.44398,246.494 L 328.16898,250.468 L 326.81998,250.5 L 324.10398,250.576 L 321.46198,249.522 L 322.00298,247.255 L 323.47698,247.21 L 324.43298,246.601 L 324.41798,246.281 L 324.03998,244.933 L 327.26298,244.83"
22015,"M 320.18598,239.426 L 320.09698,239.895 L 320.09698,240.089 L 320.29898,240.449 L 320.67698,241.013 L 320.98398,241.333 L 321.09698,242.734 L 321.16798,246.138 L 321.25898,247.268 L 322.00298,247.255 L 321.46198,249.522 L 320.99298,249.517 L 320.03298,248.269 L 318.82498,247.625 L 317.46898,243.46 L 317.35598,242.851 L 316.89198,239.642 L 316.90998,239.593 L 317.02698,239.494 L 317.13098,239.494 L 320.18598,239.426"
22017,"M 317.02698,239.494 L 316.90998,239.593 L 316.89198,239.642 L 317.35598,242.851 L 317.46898,243.46 L 318.82498,247.625 L 320.03298,248.269 L 320.99298,249.517 L 319.43498,249.554 L 319.42498,249.13 L 319.32098,248.973 L 319.06898,248.702 L 318.84298,248.535 L 317.95498,248.237 L 317.76598,248.197 L 317.55998,248.242 L 317.40098,248.342 L 317.34298,248.39 L 316.80098,249.03 L 316.77098,249.22 L 316.79298,249.297 L 316.75698,249.409 L 316.37398,249.762 L 315.78698,250.18 L 314.79198,250.198 L 314.65198,243.771 L 314.60698,241.337 L 314.56698,239.548 L 317.02698,239.494"
22019,"M 325.40598,273.076 L 325.41498,273.373 L 326.57698,274.874 L 327.75398,276.182 L 328.02798,276.515 L 328.22698,277.087 L 327.03698,277.155 L 327.05098,277.723 L 325.57698,277.773 L 325.57198,277.583 L 318.95498,277.767 L 318.93798,277.785 L 318.94598,275.294 L 318.60498,273.269 L 321.45698,273.193 L 321.42598,272.061 L 322.55198,272.034 L 322.57898,273.161 L 325.40598,273.076"
22021,"M 333.57198,248.584 L 336.58798,248.468 L 338.17398,250.027 L 338.41298,250.347 L 338.47198,250.455 L 338.49898,250.789 L 337.92698,251.14 L 338.18398,252.05 L 338.33098,252.348 L 337.09298,252.974 L 333.74398,253.104 L 333.63498,250.283 L 333.57198,248.584"
